  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.5786E-02      1.0536E+00      1.0141E+00      1.0688E+00      1.5331E-02      8.0965E+01      9.8756E+01      1.0000E+00
      1.6897E-02      1.0667E+00      1.0143E+00      1.1023E+00      1.6299E-02      8.2128E+01      9.9039E+01      1.0000E+00
      1.9813E-02      1.5045E+00      1.4036E+00      1.9530E+00      1.2944E-02      5.0602E+01      1.2503E+02      1.0000E+00
      1.3001E-02      1.0851E+00      1.0197E+00      1.2157E+00      1.1281E-02      8.2336E+01      9.7310E+01      1.0000E+00
      2.6201E-02      1.7159E+00      1.6315E+00      2.2917E+00      1.3146E-02      5.1162E+01      1.3766E+02      1.0000E+00
      1.2981E-02      1.0905E+00      1.0468E+00      1.1923E+00      1.1122E-02      8.0456E+01      1.0656E+02      1.0000E+00
      2.0643E-02      1.4452E+00      1.2638E+00      1.9174E+00      1.3040E-02      5.5442E+01      1.1607E+02      1.0000E+00
      2.6300E-02      1.7338E+00      1.6171E+00      2.3150E+00      1.3145E-02      5.1293E+01      1.3737E+02      1.0000E+00
      6.1079E-02      1.1302E+00      1.0370E+00      1.2278E+00      5.4062E-02      7.6784E+01      1.0446E+02      1.0000E+00
      6.4878E-02      1.1574E+00      1.0408E+00      1.2954E+00      5.6472E-02      7.5731E+01      1.0416E+02      1.0000E+00
      6.3347E-02      1.0445E+00      1.0046E+00      1.0690E+00      6.1787E-02      8.5634E+01      9.4005E+01      1.0000E+00
      6.7927E-02      1.0600E+00      1.0057E+00      1.1033E+00      6.5690E-02      8.5908E+01      9.3181E+01      1.0000E+00
      6.4933E-02      1.1568E+00      1.0400E+00      1.2883E+00      5.6487E-02      7.6078E+01      1.0433E+02      1.0000E+00
      6.4581E-02      1.1437E+00      1.0409E+00      1.2699E+00      5.6698E-02      7.5383E+01      1.0421E+02      1.0000E+00
      6.7990E-02      1.0593E+00      1.0051E+00      1.0999E+00      6.5802E-02      8.6503E+01      9.2754E+01      1.0000E+00
      6.3362E-02      1.0425E+00      1.0032E+00      1.0628E+00      6.1222E-02      8.7019E+01      9.3747E+01      1.0000E+00
      1.6716E-02      1.0772E+00      1.0256E+00      1.1023E+00      1.6250E-02      7.8044E+01      1.0162E+02      1.0000E+00
      1.5604E-02      1.0604E+00      1.0262E+00      1.0645E+00      1.5018E-02      7.8267E+01      1.0294E+02      1.0000E+00
      1.5787E-02      1.0538E+00      1.0141E+00      1.0693E+00      1.5331E-02      8.0970E+01      9.8745E+01      1.0000E+00
      1.6903E-02      1.0669E+00      1.0143E+00      1.1027E+00      1.6303E-02      8.2133E+01      9.9032E+01      1.0000E+00
      1.9765E-02      1.5071E+00      1.4035E+00      1.9525E+00      1.2914E-02      5.0529E+01      1.2510E+02      1.0000E+00
      1.2997E-02      1.0844E+00      1.0194E+00      1.2141E+00      1.1277E-02      8.2349E+01      9.7339E+01      1.0000E+00
      2.6174E-02      1.7128E+00      1.6277E+00      2.2894E+00      1.3140E-02      5.1301E+01      1.3756E+02      1.0000E+00
      1.2982E-02      1.0902E+00      1.0467E+00      1.1916E+00      1.1118E-02      8.0479E+01      1.0656E+02      1.0000E+00
      2.0680E-02      1.4480E+00      1.2660E+00      1.9213E+00      1.3045E-02      5.5307E+01      1.1620E+02      1.0000E+00
      2.6331E-02      1.7309E+00      1.6146E+00      2.3150E+00      1.3190E-02      5.1348E+01      1.3724E+02      1.0000E+00
      1.6721E-02      1.0775E+00      1.0256E+00      1.1027E+00      1.6254E-02      7.8036E+01      1.0163E+02      1.0000E+00
      1.5605E-02      1.0607E+00      1.0262E+00      1.0648E+00      1.5017E-02      7.8254E+01      1.0296E+02      1.0000E+00
      1.5785E-02      1.0536E+00      1.0141E+00      1.0691E+00      1.5330E-02      8.0966E+01      9.8746E+01      1.0000E+00
      1.6897E-02      1.0667E+00      1.0143E+00      1.1023E+00      1.6299E-02      8.2129E+01      9.9035E+01      1.0000E+00
      1.9796E-02      1.5103E+00      1.4066E+00      1.9567E+00      1.2917E-02      5.0412E+01      1.2524E+02      1.0000E+00
      1.2999E-02      1.0843E+00      1.0194E+00      1.2138E+00      1.1280E-02      8.2336E+01      9.7309E+01      1.0000E+00
      2.6197E-02      1.7111E+00      1.6256E+00      2.2887E+00      1.3185E-02      5.1314E+01      1.3745E+02      1.0000E+00
      1.2980E-02      1.0904E+00      1.0469E+00      1.1919E+00      1.1114E-02      8.0451E+01      1.0660E+02      1.0000E+00
      2.0645E-02      1.4454E+00      1.2639E+00      1.9175E+00      1.3041E-02      5.5431E+01      1.1608E+02      1.0000E+00
      2.6306E-02      1.7323E+00      1.6162E+00      2.3153E+00      1.3148E-02      5.1345E+01      1.3733E+02      1.0000E+00
      6.4198E-02      1.1466E+00      1.0389E+00      1.2697E+00      5.6439E-02      7.6053E+01      1.0415E+02      1.0000E+00
      6.5221E-02      1.1559E+00      1.0415E+00      1.2895E+00      5.6874E-02      7.5454E+01      1.0435E+02      1.0000E+00
      6.3317E-02      1.0425E+00      1.0032E+00      1.0631E+00      6.1192E-02      8.7070E+01      9.3687E+01      1.0000E+00
      6.7842E-02      1.0593E+00      1.0052E+00      1.1006E+00      6.5672E-02      8.6436E+01      9.2800E+01      1.0000E+00
      6.4859E-02      1.1586E+00      1.0393E+00      1.2896E+00      5.6391E-02      7.6163E+01      1.0425E+02      1.0000E+00
      6.4531E-02      1.1442E+00      1.0410E+00      1.2697E+00      5.6656E-02      7.5333E+01      1.0425E+02      1.0000E+00
      6.7816E-02      1.0596E+00      1.0053E+00      1.1006E+00      6.5634E-02      8.6312E+01      9.2932E+01      1.0000E+00
      6.3253E-02      1.0425E+00      1.0033E+00      1.0627E+00      6.1115E-02      8.6961E+01      9.3805E+01      1.0000E+00
      2.5419E-01      1.1870E+00      1.0464E+00      1.3551E+00      2.1403E-01      7.4896E+01      1.0421E+02      1.0000E+00
      2.7297E-01      1.1447E+00      1.0396E+00      1.2115E+00      2.4601E-01      7.6084E+01      1.0421E+02      1.0000E+00
      5.3505E-02      1.0808E+00      1.0235E+00      1.2014E+00      4.5541E-02      8.4525E+01      1.0148E+02      1.0000E+00
      8.2228E-02      1.4927E+00      1.3407E+00      1.9465E+00      5.2822E-02      5.2134E+01      1.2171E+02      1.0000E+00
      1.0662E-01      1.6970E+00      1.6094E+00      2.2936E+00      5.3726E-02      5.1996E+01      1.3681E+02      1.0000E+00
